Wavelength (Å),Sum,He I (9.8e-01),He II (2.2e-04),Ne I (9.9e-03),Ne II (1.1e-04),Ne III (3.7e-15),Ar I (2.8e-03),Ar II (7.2e-03),Ar III (7.6e-08)
13175,4053,"0,00001308",,"7,089E-11",,,4053,,
13176.9,4412,"0,000009583",,"4,747E-11",,,4412,,
13178.8,4795,"0,000006999",,"3,169E-11",,,4795,,
13180.8,5223,"0,000005012",,"2,065E-11",,,5223,,
13182.7,5656,"0,000003639",,"1,37E-11",,,5656,,
13184.6,6115,"0,000002634",,"9,067E-12",,,6115,,
13186.5,6599,"0,000001901",,"5,982E-12",,,6599,,
13188.5,7139,"0,000001345",,"3,849E-12",,,7139,,
13190.4,7680,"0,0000009649",,"2,525E-12",,,7680,,
13192.3,8250,"0,0000006903",,"1,651E-12",,,8250,,
13194.2,8848,"0,0000004924",,"1,076E-12",,,8848,,
13196.2,9511,"0,000000344",,"6,84E-13",,,9511,,
13198.1,10170,"0,000000244",,"4,433E-13",,,10170,,
13200,10860,"0,0000001725",,"2,864E-13",,,10860,,
13201.9,11590,"0,0000001216",,"1,846E-13",,,11590,,
13203.8,12340,"0,0000000855",,"1,186E-13",,,12340,,
13205.8,13170,"0,00000005882",,"7,418E-14",,,13170,,
13207.7,13990,"0,0000000411",,"4,737E-14",,,13990,,
13209.6,14840,"0,00000002864",,"3,016E-14",,,14840,,
13211.5,15730,"0,0000000199",,"1,915E-14",,,15730,,
13213.5,16690,"0,00000001352",,"1,183E-14",,,16690,,
13215.4,17650,"0,000000009337",,,,,17650,,
13217.3,18630,"0,00000000643",,,,,18630,,
13219.2,19640,"0,000000004415",,,,,19640,,
13221.2,20740,"0,000000002963",,,,,20740,,
13223.1,21820,"0,000000002023",,,,,21820,,
13225,22920,"0,000000001377",,,,,22920,,
13226.9,24040,"9,342E-10",,,,,24040,,
13228.8,25200,"6,321E-10",,,,,25200,,
13230.8,26430,"4,177E-10",,,,,26430,,
13232.7,27630,"2,81E-10",,,,,27630,,
13234.6,28840,"1,885E-10",,,,,28840,,
13236.5,30060,"1,26E-10",,,,,30060,,
13238.5,31360,"8,226E-11",,,,,31360,,
13240.4,32600,"5,469E-11",,,,,32600,,
13242.3,33840,"3,625E-11",,,,,33840,,
13244.2,35080,"2,396E-11",,,,,35080,,
13246.2,36380,"1,545E-11",,,,,36380,,
13248.1,37610,"1,015E-11",,,,,37610,,
13250,38810,"6,649E-12",,,,,38810,,
13251.9,40000,"4,343E-12",,,,,40000,,
13253.8,41160,"2,829E-12",,,,,41160,,
13255.8,42350,"1,796E-12",,,,,42350,,
13257.7,43450,"1,163E-12",,,,,43450,,
13259.6,44500,"7,506E-13",,,,,44500,,
13261.5,45510,"4,832E-13",,,,,45510,,
13263.5,46510,"3,029E-13",,,,,46510,,
13265.4,47410,"1,939E-13",,,,,47410,,
13267.3,48240,"1,237E-13",,,,,48240,,
13269.2,49020,"7,869E-14",,,,,49020,,
13271.2,49750,"4,873E-14",,,,,49750,,
13273.1,50380,,,,,,50380,,
13275,50930,,,,,,50930,,
13276.9,51410,,,,,,51410,,
13278.8,51800,,,,,,51800,,
13280.8,52130,,,,,,52130,,
13282.7,52350,,,,,,52350,,
13284.6,52490,,,,,,52490,,
13286.5,52550,,,,,,52550,,
