'Teorical peaks','Empirical peaks','Normalized','Zero Padding','Teorical WeedOut','Empirical WeedOut','WeedOut Min Value','W_STEP','W_LENGTH','Count of Windows','Distance',,'IoU',,'Scroll Error',,'Time',
'FALSE','FALSE','TRUE','FALSE','TRUE','TRUE',1000,75,2000,70,24.32,-11.43,0.10,-0.11,3048.91,-1855.09,0.46,-0.12
'FALSE','FALSE','TRUE','FALSE','TRUE','FALSE',20,75,2000,70,1563.37,-289.55,0.15,-0.17,2381.66,-1480.05,16.99,-0.02
'FALSE','FALSE','TRUE','FALSE','TRUE','FALSE',100,75,2000,70,1261.03,-238.89,0.13,-0.14,2870.77,-1475.84,17.66,-0.01
'FALSE','FALSE','TRUE','FALSE','TRUE','FALSE',1000,75,2000,70,1030.81,-212.11,0.19,-0.13,2673.89,-1716.97,21.13,-0.03
'FALSE','FALSE','TRUE','FALSE','FALSE','TRUE',20,75,2000,73,0.40,-0.22,0.00,0.00,3119.41,-1622.83,0.49,-0.07
'FALSE','FALSE','TRUE','FALSE','FALSE','TRUE',100,75,2000,73,1.59,-0.70,0.00,0.00,2830.67,-1369.12,2.18,-0.45
'FALSE','FALSE','TRUE','FALSE','FALSE','TRUE',1000,75,2000,73,22.50,-6.71,0.00,0.00,3059.84,-1551.52,23.92,-6.19
'FALSE','FALSE','TRUE','FALSE','FALSE','FALSE',20,75,2000,73,535.03,-110.19,0.01,-0.01,3165.26,-1474.45,468.17,-0.26
'FALSE','FALSE','TRUE','FALSE','FALSE','FALSE',100,75,2000,73,535.03,-110.19,0.01,-0.01,3165.26,-1474.45,468.23,-0.06
'FALSE','FALSE','TRUE','FALSE','FALSE','FALSE',1000,75,2000,73,535.03,-110.19,0.01,-0.01,3165.26,-1474.45,468.36,-0.13
'FALSE','FALSE','FALSE','TRUE','TRUE','TRUE',20,75,2000,70,58984.99,-8967.20,0.00,0.00,3799.38,-1406.65,0.02,0.00
'FALSE','FALSE','FALSE','TRUE','TRUE','TRUE',100,75,2000,70,209959.05,-39225.55,0.00,0.00,3880.39,-1540.76,0.04,0.00
'FALSE','FALSE','FALSE','TRUE','TRUE','TRUE',1000,75,2000,70,1492091.72,-384675.19,0.00,0.00,4000.05,-1635.61,0.46,-0.12
